,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,QBR_SACK,PEN,RAW,OVERALL,OFFENSE,DEFENSE,SPECIAL,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,TOTAL_SACKS,RTG,RATT,RYDS,RAVG,RLNG,RTD,AGE,DRAFTED
253,Chris Williams,C-USA,2006.0,33.8,-11.4,251.0,0.6,9.9,-1.4,-7.2,-0.7,38.4,32.3,37.5,35.9,42.5,95.0,168.0,56.5,1112.0,6.6,71.0,9.0,7.0,9.0,121.5,,,,,,0.0,
254,Andy Schmitt,MAC,2006.0,33.8,-16.9,342.0,-0.4,4.7,1.0,-5.7,-0.3,37.4,21.6,20.1,29.1,62.2,131.0,213.0,61.5,1182.0,5.5,46.0,2.0,6.0,9.0,105.6,107.0,462.0,4.3,23.0,4.0,0.0,
255,Perry Patterson,ACC,2006.0,33.8,-38.7,432.0,-15.4,20.6,-9.1,-27.4,0.5,28.3,43.8,34.8,48.1,69.7,158.0,300.0,52.7,1865.0,6.2,65.0,12.0,4.0,42.0,115.4,,,,,,0.0,
256,Kinsmon Lancaster,SUN-BELT,2006.0,33.4,-21.7,406.0,-2.0,8.6,-1.6,-7.4,-1.3,36.4,35.2,40.4,37.4,44.4,142.0,250.0,56.8,1796.0,7.2,64.0,7.0,14.0,11.0,115.2,111.0,333.0,3.0,25.0,5.0,0.0,
257,Willie Tuitama,PAC-12,2006.0,33.4,-27.2,271.0,-12.8,6.0,-5.1,-15.0,1.2,26.1,53.3,29.9,72.5,58.9,118.0,211.0,55.9,1335.0,6.3,78.0,7.0,6.0,21.0,114.3,,,,,,0.0,
258,Steven Wichman,SUN-BELT,2006.0,30.3,-23.9,410.0,-3.5,7.6,1.1,-12.2,0.1,35.3,22.8,29.1,31.8,29.4,155.0,319.0,48.6,2158.0,6.8,52.0,8.0,14.0,21.0,104.9,,,,,,0.0,
259,Chris Nelson,MTN-WEST,2006.0,30.0,-20.4,274.0,-5.3,13.0,-7.3,-11.9,0.9,31.6,38.2,30.7,50.2,49.4,112.0,216.0,51.9,1435.0,6.6,61.0,12.0,6.0,21.0,120.4,,,,,,0.0,
260,Kerry Meier,BIG12,2006.0,29.8,-18.8,300.0,-3.7,10.1,-1.7,-11.8,-0.7,34.3,55.4,47.8,56.7,61.6,104.0,184.0,56.5,1193.0,6.5,50.0,13.0,10.0,18.0,123.4,99.0,344.0,3.5,31.0,5.0,20.0,1.0
261,Zac Champion,C-USA,2006.0,29.5,-28.2,479.0,-3.8,6.2,1.9,-15.3,3.4,35.2,14.9,30.7,15.5,33.3,190.0,364.0,52.2,2466.0,6.8,66.0,14.0,18.0,25.0,111.9,,,,,,0.0,
262,Rocky Hinds,MTN-WEST,2006.0,28.9,-32.9,447.0,-7.9,3.3,-3.7,-10.2,2.6,31.8,19.5,21.4,28.8,45.8,194.0,359.0,54.0,2148.0,6.0,71.0,8.0,13.0,19.0,104.4,,,,,,0.0,
263,Brent Schaeffer,SEC,2006.0,28.5,-41.0,371.0,-19.7,0.4,-5.9,-15.7,1.7,24.1,42.8,40.0,38.2,79.2,115.0,244.0,47.1,1442.0,5.9,55.0,9.0,10.0,25.0,100.8,,,,,,0.0,
