,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,QBR_SACK,PEN,RAW,OVERALL,OFFENSE,DEFENSE,SPECIAL,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,TOTAL_SACKS,RTG,RATT,RYDS,RAVG,RLNG,RTD,AGE,DRAFTED
846,Taylor Reed,American,2011.0,33.9,-12.0,388.0,4.9,16.0,-2.6,-8.2,-0.3,42.0,13.2,13.4,22.2,53.5,169.0,295.0,57.3,1690.0,5.7,93.0,10.0,4.0,20.0,113.9,,,,,,0.0,
847,Ryan Griffin,American,2011.0,32.2,-16.4,492.0,5.6,10.9,4.5,-10.7,0.9,41.5,14.0,19.4,25.8,24.4,227.0,408.0,55.6,2502.0,6.1,60.0,13.0,10.0,22.0,112.8,,,,,,0.0,
848,Gary Nova,BIG10,2011.0,31.8,-18.6,281.0,-4.3,8.3,-1.3,-12.8,1.5,33.4,53.5,30.5,73.1,64.5,116.0,227.0,51.1,1553.0,6.8,92.0,11.0,9.0,15.0,116.6,,,,,,0.0,
849,Danny O'Brien,BIG10,2011.0,31.8,-25.7,311.0,-8.3,-5.6,1.0,-3.7,0.0,29.7,31.8,37.0,36.6,39.0,150.0,266.0,56.4,1648.0,6.2,69.0,7.0,10.0,7.0,109.6,,,,,,0.0,
850,B.R. Holbrook,MTN-WEST,2011.0,31.6,-12.9,334.0,2.1,8.3,2.6,-7.5,-1.3,40.1,8.4,17.7,13.1,31.3,141.0,236.0,59.7,1490.0,6.3,80.0,4.0,7.0,17.0,112.4,,,,,,0.0,
851,Johnny McEntee,INDEP,2011.0,30.3,-38.1,424.0,-14.3,12.8,-4.4,-25.5,2.6,28.2,42.5,21.5,63.1,62.9,172.0,335.0,51.3,2110.0,6.3,64.0,12.0,8.0,37.0,111.3,,,,,,0.0,
852,David Ash,BIG12,2011.0,30.2,-27.6,260.0,-11.9,-3.3,0.9,-10.0,0.6,24.9,67.9,44.7,81.9,51.2,99.0,174.0,56.9,1079.0,6.2,48.0,4.0,8.0,16.0,107.4,,,,,,0.0,
853,Jon Hays,PAC-12,2011.0,29.2,-29.5,306.0,-12.5,11.0,-8.0,-17.6,2.1,26.9,63.4,32.6,79.4,61.9,120.0,214.0,56.1,1459.0,6.8,65.0,12.0,8.0,28.0,124.4,,,,,,0.0,
854,Pete Thomas,MTN-WEST,2011.0,28.3,-17.3,346.0,-0.6,9.2,7.1,-16.3,-0.7,37.3,22.6,21.4,32.8,52.3,161.0,261.0,61.7,1607.0,6.2,47.0,7.0,8.0,27.0,116.1,,,,,,0.0,
855,Brian Reader,SUN-BELT,2011.0,26.6,-31.7,437.0,-8.6,3.9,-3.1,-12.1,2.5,32.0,22.3,15.4,39.3,51.9,192.0,354.0,54.2,1974.0,5.6,46.0,10.0,12.0,21.0,103.6,,,,,,2011.0,
856,Morgan Newton,SEC,2011.0,24.7,-30.0,276.0,-13.5,-6.9,4.1,-13.1,2.5,24.4,36.5,20.4,59.7,48.0,83.0,174.0,47.7,793.0,4.6,46.0,8.0,7.0,18.0,93.1,,,,,,2011.0,
857,Spencer Keith,MAC,2011.0,23.9,-36.1,417.0,-12.6,-0.2,2.3,-14.3,-0.5,28.9,25.6,7.8,57.6,61.4,166.0,325.0,51.1,1682.0,5.2,85.0,11.0,8.0,22.0,100.8,,,,,,2011.0,
858,Caleb Herring,MTN-WEST,2011.0,22.2,-34.3,317.0,-13.2,-1.5,1.0,-13.5,0.8,24.5,16.1,16.0,24.5,57.0,113.0,206.0,54.9,1004.0,4.9,33.0,8.0,6.0,26.0,102.8,,,,,,0.0,
859,Clayton Moore,MAC,2011.0,15.0,-57.2,425.0,-25.7,-10.5,4.8,-19.9,0.0,19.8,6.7,7.5,16.0,45.6,147.0,309.0,47.6,1655.0,5.4,51.0,9.0,9.0,34.0,96.3,,,,,,18.0,
860,Graham Wilbert,C-USA,2011.0,13.7,-55.0,359.0,-29.3,-12.5,-6.0,-12.3,1.5,16.9,10.1,7.5,26.6,42.0,154.0,294.0,52.4,1459.0,5.0,37.0,7.0,15.0,18.0,91.7,,,,,,21.0,
861,Johnny Manziel,SEC,2012.0,91.3,119.9,676.0,121.8,66.7,67.9,-13.7,1.0,86.3,88.8,91.3,74.6,37.7,295.0,434.0,68.0,3706.0,8.5,89.0,26.0,9.0,22.0,155.3,201.0,1410.0,7.0,72.0,21.0,2012.0,1.0
862,Marcus Mariota,PAC-12,2012.0,86.7,70.2,476.0,71.4,52.7,28.1,-8.1,-1.4,82.2,91.0,88.3,81.7,55.3,230.0,336.0,68.5,2677.0,8.0,55.0,32.0,6.0,17.0,163.2,106.0,752.0,7.1,86.0,5.0,22.0,1.0
863,AJ McCarron,SEC,2012.0,84.9,47.3,387.0,49.6,58.5,1.4,-11.6,1.4,78.1,95.4,90.3,91.2,59.8,211.0,314.0,67.2,2933.0,9.3,85.0,30.0,3.0,22.0,175.3,,,,,,22.0,1.0
864,Collin Klein,BIG12,2012.0,83.1,66.5,541.0,77.5,56.4,28.0,-8.2,1.3,78.2,83.4,78.2,72.1,74.0,197.0,304.0,64.8,2641.0,8.7,62.0,16.0,9.0,14.0,149.2,207.0,920.0,4.4,34.0,23.0,0.0,
865,Denard Robinson,BIG10,2012.0,82.7,36.5,357.0,45.2,15.7,32.0,-2.5,0.0,74.3,69.4,70.3,60.7,52.6,89.0,167.0,53.3,1319.0,7.9,71.0,9.0,9.0,4.0,126.6,177.0,1266.0,7.2,79.0,7.0,22.0,1.0
866,Tajh Boyd,ACC,2012.0,81.8,65.9,644.0,81.4,82.5,12.6,-16.6,3.1,74.3,75.6,81.7,55.3,54.5,287.0,427.0,67.2,3896.0,9.1,69.0,36.0,13.0,31.0,165.6,186.0,514.0,2.8,27.0,10.0,22.0,1.0
867,Landry Jones,BIG12,2012.0,81.1,66.6,613.0,82.1,88.3,-0.2,-7.2,1.3,75.6,78.4,78.4,66.6,54.8,367.0,555.0,66.1,4267.0,7.7,76.0,30.0,11.0,13.0,144.6,,,,,,2012.0,1.0
868,Aaron Murray,SEC,2012.0,80.9,51.1,503.0,61.3,74.5,3.0,-15.7,-0.8,74.2,82.4,83.6,70.6,51.0,249.0,386.0,64.5,3893.0,10.1,87.0,36.0,10.0,26.0,174.8,,,,,,20.0,1.0
869,Geno Smith,BIG12,2012.0,79.4,62.8,627.0,73.3,82.3,6.8,-16.5,1.0,73.9,63.9,80.6,41.7,38.8,369.0,518.0,71.2,4205.0,8.1,87.0,42.0,6.0,19.0,163.9,,,,,,0.0,1.0
870,Nick Florence,BIG12,2012.0,79.3,73.5,665.0,88.3,85.9,9.7,-10.4,3.3,75.9,69.7,86.1,44.4,31.9,286.0,464.0,61.6,4309.0,9.3,80.0,33.0,13.0,18.0,157.5,139.0,568.0,4.1,60.0,10.0,20.0,
871,Teddy Bridgewater,ACC,2012.0,78.9,62.9,533.0,74.0,83.4,6.0,-16.0,0.8,77.3,62.0,72.1,50.7,33.0,287.0,419.0,68.5,3718.0,8.9,75.0,27.0,8.0,28.0,160.5,,,,,,0.0,1.0
872,Matt Scott,PAC-12,2012.0,78.2,51.4,666.0,73.5,55.2,20.6,-8.9,6.7,69.0,62.9,75.4,47.0,37.7,301.0,499.0,60.3,3620.0,7.3,63.0,27.0,14.0,14.0,133.5,113.0,506.0,4.5,24.0,6.0,2012.0,
873,Cody Fajardo,MTN-WEST,2012.0,78.2,91.2,597.0,107.7,74.3,42.0,-11.2,2.5,83.0,42.1,63.7,24.2,45.7,246.0,367.0,67.0,2786.0,7.6,55.0,20.0,9.0,15.0,143.9,190.0,1121.0,5.9,49.0,12.0,24.0,
874,David Fales,MTN-WEST,2012.0,77.6,69.8,532.0,83.1,102.2,-3.3,-17.2,1.4,79.6,66.0,63.9,63.2,47.7,327.0,451.0,72.5,4193.0,9.3,78.0,33.0,9.0,26.0,170.8,,,,,,2012.0,1.0
875,Chuckie Keeton,MTN-WEST,2012.0,77.0,67.9,560.0,77.2,65.6,19.0,-9.0,1.5,77.9,75.9,65.7,74.8,55.6,275.0,407.0,67.6,3373.0,8.3,86.0,27.0,9.0,17.0,154.6,129.0,619.0,4.8,76.0,8.0,0.0,
876,Seth Doege,BIG12,2012.0,76.7,58.0,634.0,75.0,84.2,1.4,-13.6,2.9,72.1,63.2,72.2,47.2,50.1,380.0,541.0,70.2,4205.0,7.8,61.0,39.0,16.0,17.0,153.4,,,,,,0.0,
877,David Ash,BIG12,2012.0,76.2,38.3,403.0,48.2,48.4,7.0,-6.6,-0.4,72.9,72.4,76.4,58.7,54.1,214.0,318.0,67.3,2699.0,8.5,75.0,19.0,8.0,10.0,153.3,,,,,,22.0,
878,Tyler Bray,SEC,2012.0,76.1,36.3,519.0,55.7,65.2,-5.6,-6.3,2.8,67.4,52.6,71.2,33.8,45.5,268.0,451.0,59.4,3612.0,8.0,72.0,34.0,12.0,8.0,146.3,,,,,,2012.0,
879,Blake Bortles,American,2012.0,75.9,60.6,526.0,72.0,51.6,30.1,-13.1,3.4,76.8,66.6,64.6,60.2,57.8,251.0,399.0,62.9,3059.0,7.7,64.0,25.0,7.0,22.0,144.5,,,,,,2012.0,1.0
880,Colby Cameron,C-USA,2012.0,75.3,72.9,644.0,86.1,79.0,5.6,-5.8,7.6,76.4,57.5,78.9,27.0,54.1,359.0,522.0,68.8,4147.0,7.9,79.0,31.0,5.0,10.0,153.2,,,,,,23.0,
881,Terrance Broadway,SUN-BELT,2012.0,75.0,59.4,474.0,67.8,49.1,23.8,-8.1,3.0,78.6,55.8,64.9,46.7,45.4,206.0,315.0,65.4,2842.0,9.0,81.0,17.0,9.0,12.0,153.3,119.0,769.0,6.5,77.0,9.0,21.0,
882,Taylor Martinez,BIG10,2012.0,74.8,35.2,601.0,53.6,44.2,30.3,-20.0,-0.7,64.8,68.2,68.0,66.0,38.9,228.0,368.0,62.0,2871.0,7.8,74.0,23.0,12.0,34.0,141.6,195.0,1019.0,5.2,92.0,10.0,0.0,
883,Tyler Wilson,SEC,2012.0,74.7,28.3,482.0,41.9,52.0,-5.6,-7.7,3.5,64.8,48.3,54.3,46.1,41.4,249.0,401.0,62.1,3387.0,8.4,80.0,21.0,13.0,14.0,143.8,,,,,,22.0,1.0
884,Connor Shaw,SEC,2012.0,74.7,28.4,380.0,41.7,50.0,9.0,-15.8,-1.5,68.5,80.0,69.2,82.0,43.2,154.0,228.0,67.5,1956.0,8.6,62.0,17.0,7.0,25.0,158.1,131.0,435.0,3.3,64.0,3.0,22.0,
885,Brett Smith,MTN-WEST,2012.0,74.7,57.4,464.0,66.1,67.8,14.6,-18.1,1.7,78.3,28.9,47.7,23.5,38.9,205.0,330.0,62.1,2832.0,8.6,82.0,27.0,6.0,26.0,157.6,,,,,,0.0,
886,EJ Manuel,ACC,2012.0,74.5,40.6,534.0,53.8,64.2,9.7,-18.6,-1.7,68.8,84.8,74.3,83.8,55.4,263.0,387.0,68.0,3392.0,8.8,77.0,23.0,10.0,26.0,156.0,103.0,310.0,3.0,28.0,4.0,0.0,1.0
887,Jordan Lynch,MAC,2012.0,73.1,84.7,717.0,100.9,52.2,55.2,-8.0,1.7,77.3,63.8,63.4,54.5,65.4,237.0,394.0,60.2,3138.0,8.0,73.0,25.0,6.0,17.0,144.9,294.0,1815.0,6.2,88.0,19.0,0.0,
888,Ryan Aplin,SUN-BELT,2012.0,71.7,58.6,552.0,68.7,55.8,17.7,-9.4,4.9,75.1,57.2,69.6,49.9,23.7,276.0,406.0,68.0,3342.0,8.2,74.0,24.0,4.0,15.0,154.7,104.0,438.0,4.2,38.0,6.0,2012.0,
889,Braxton Miller,BIG10,2012.0,71.5,34.4,515.0,52.8,31.5,38.5,-16.7,-0.7,66.7,73.2,70.3,69.3,48.1,148.0,254.0,58.3,2039.0,8.0,72.0,15.0,6.0,28.0,140.5,227.0,1271.0,5.6,72.0,13.0,0.0,1.0
890,Matt Barkley,PAC-12,2012.0,71.3,20.0,478.0,36.0,43.4,-5.7,-7.9,6.1,60.7,71.1,61.3,67.2,68.8,246.0,387.0,63.6,3273.0,8.5,83.0,36.0,15.0,14.0,157.6,,,,,,0.0,1.0
891,Tevin Washington,ACC,2012.0,71.0,22.8,327.0,31.8,20.5,15.9,-5.0,0.2,67.3,62.0,70.6,50.2,40.3,75.0,133.0,56.4,1222.0,9.2,70.0,8.0,4.0,9.0,147.4,177.0,684.0,3.9,60.0,20.0,0.0,
892,Rakeem Cato,C-USA,2012.0,70.7,69.8,681.0,80.8,84.9,6.7,-16.3,5.8,74.4,33.6,58.8,21.3,29.4,406.0,584.0,69.5,4201.0,7.2,72.0,37.0,11.0,26.0,147.1,,,,,,2012.0,
893,Taylor Kelly,PAC-12,2012.0,70.7,27.8,526.0,41.6,46.7,10.5,-17.2,1.8,63.4,71.6,66.3,68.7,52.3,241.0,359.0,67.1,3039.0,8.5,52.0,29.0,9.0,31.0,159.9,134.0,516.0,3.9,32.0,1.0,2012.0,
894,Kain Colter,BIG10,2012.0,70.6,18.1,334.0,30.4,8.1,30.6,-9.3,1.0,63.7,69.0,61.4,62.2,72.8,101.0,149.0,67.8,872.0,5.9,47.0,8.0,4.0,11.0,129.3,170.0,894.0,5.3,39.0,12.0,2012.0,
895,Kolton Browning,SUN-BELT,2012.0,70.4,63.1,613.0,79.3,65.5,21.2,-14.2,6.1,74.5,47.2,57.0,40.1,42.7,273.0,428.0,63.8,3049.0,7.1,81.0,29.0,10.0,23.0,141.3,146.0,488.0,3.3,39.0,7.0,22.0,
896,Everett Golson,ACC,2012.0,69.4,16.9,446.0,33.8,36.4,7.7,-9.7,-0.8,59.7,77.8,67.9,81.2,38.0,187.0,318.0,58.8,2405.0,7.6,50.0,12.0,6.0,15.0,131.0,94.0,298.0,3.2,27.0,6.0,19.0,
897,Joe Southwick,MTN-WEST,2012.0,69.0,34.4,446.0,45.9,46.3,1.0,-3.5,2.2,69.0,72.6,59.0,73.5,63.1,248.0,371.0,66.8,2730.0,7.4,53.0,19.0,7.0,7.0,141.8,,,,,,22.0,
898,Ryan Nassib,ACC,2012.0,68.0,31.6,625.0,54.1,63.3,-1.8,-12.0,4.7,62.8,59.9,63.8,55.1,38.7,294.0,471.0,62.4,3749.0,8.0,68.0,26.0,10.0,16.0,143.3,,,,,,0.0,1.0
899,Brett Hundley,PAC-12,2012.0,67.4,23.1,699.0,44.4,60.8,11.4,-28.9,1.1,58.5,67.1,64.1,63.6,51.5,319.0,479.0,66.6,3745.0,7.8,71.0,29.0,11.0,52.0,147.7,160.0,355.0,2.2,72.0,9.0,21.0,1.0
900,Sean Renfree,ACC,2012.0,66.2,26.0,516.0,40.6,48.2,0.0,-8.7,0.9,62.8,43.4,55.6,27.2,66.2,297.0,441.0,67.3,3113.0,7.1,99.0,19.0,10.0,18.0,136.3,,,,,,0.0,1.0
901,Matt McGloin,BIG10,2012.0,65.8,31.4,547.0,49.6,54.3,9.7,-16.2,1.8,64.5,64.6,52.3,72.1,48.3,270.0,446.0,60.5,3271.0,7.3,53.0,24.0,5.0,20.0,137.7,,,,,,0.0,
902,Derek Carr,MTN-WEST,2012.0,64.3,42.9,618.0,50.3,63.2,1.0,-16.2,2.4,67.3,67.5,51.5,77.0,49.9,344.0,511.0,67.3,4104.0,8.0,97.0,37.0,7.0,27.0,155.9,,,,,,21.0,1.0
903,Sean Mannion,PAC-12,2012.0,63.9,8.2,360.0,21.7,30.7,-0.5,-9.2,0.6,55.9,75.3,65.9,73.9,57.4,200.0,309.0,64.7,2446.0,7.9,75.0,15.0,13.0,12.0,138.8,,,,,,2012.0,1.0
904,Eric Soza,C-USA,2012.0,63.4,42.9,381.0,51.2,42.2,10.4,-2.1,0.7,76.3,30.1,40.8,22.5,67.0,166.0,282.0,58.9,2085.0,7.4,82.0,20.0,3.0,3.0,142.3,67.0,364.0,5.4,33.0,6.0,2012.0,
905,Keith Wenning,MAC,2012.0,62.7,40.4,561.0,59.7,62.5,-1.1,-8.3,6.6,67.9,49.0,60.6,31.0,69.1,301.0,460.0,65.4,3095.0,6.7,52.0,24.0,10.0,11.0,134.8,,,,,,21.0,1.0
906,Bo Wallace,SEC,2012.0,62.6,6.9,541.0,29.6,44.8,3.0,-17.7,-0.5,53.3,67.5,62.5,71.9,33.6,235.0,368.0,63.9,2994.0,8.1,77.0,22.0,17.0,28.0,142.7,143.0,390.0,2.7,58.0,8.0,0.0,
907,Tyler Russell,SEC,2012.0,62.5,17.7,474.0,32.6,41.1,0.0,-10.4,1.9,59.6,59.1,52.9,58.0,61.2,231.0,394.0,58.6,2897.0,7.4,72.0,24.0,10.0,18.0,135.4,,,,,,22.0,
908,Shane Carden,American,2012.0,61.8,44.1,535.0,57.3,60.4,9.7,-15.3,2.5,70.2,40.5,44.6,39.2,52.6,273.0,413.0,66.1,3116.0,7.5,76.0,23.0,10.0,29.0,143.0,,,,,,0.0,
909,Logan Kilgore,C-USA,2012.0,61.2,29.1,405.0,39.6,38.7,4.9,-4.3,0.0,67.8,43.6,46.0,38.7,66.9,212.0,335.0,63.3,2571.0,7.7,75.0,16.0,6.0,7.0,139.9,,,,,,0.0,
910,Bryn Renner,ACC,2012.0,61.0,17.2,529.0,36.2,50.5,-9.6,-8.0,3.4,58.4,58.3,70.0,42.8,50.7,276.0,422.0,65.4,3356.0,8.0,78.0,28.0,7.0,11.0,150.8,,,,,,0.0,
911,B.J. Daniels,American,2012.0,61.0,10.8,424.0,28.7,28.1,9.0,-11.4,3.0,56.6,40.9,42.3,44.9,43.6,164.0,289.0,56.7,2078.0,7.2,58.0,14.0,10.0,13.0,126.2,104.0,426.0,4.1,53.0,5.0,2012.0,1.0
912,Tino Sunseri,ACC,2012.0,60.9,8.1,503.0,24.4,59.7,-8.1,-25.8,-1.3,54.2,58.8,50.8,60.2,59.3,256.0,393.0,65.1,3288.0,8.4,77.0,21.0,3.0,38.0,151.5,,,,,,0.0,
913,Zac Dysert,MAC,2012.0,60.3,36.0,632.0,54.2,52.6,17.7,-20.0,3.8,64.4,25.3,38.5,22.7,46.6,302.0,480.0,62.9,3483.0,7.3,68.0,25.0,12.0,36.0,136.1,,,,,,2012.0,1.0
914,Tyler Tettleton,MAC,2012.0,59.9,36.2,520.0,54.5,59.7,6.8,-17.4,5.4,67.3,44.8,47.1,40.0,62.6,228.0,367.0,62.1,2844.0,7.7,79.0,18.0,4.0,26.0,141.2,,,,,,0.0,
915,Josh Nunes,PAC-12,2012.0,59.8,1.9,299.0,14.7,13.3,3.6,-5.5,3.5,51.6,76.8,58.1,82.5,53.6,124.0,235.0,52.8,1643.0,7.0,70.0,10.0,7.0,8.0,119.6,,,,,,2012.0,
916,T.O. Owens,MAC,2012.0,59.7,31.6,478.0,50.2,44.8,15.6,-10.4,0.2,66.5,47.7,45.2,47.7,59.9,216.0,351.0,61.5,2699.0,7.7,66.0,14.0,8.0,18.0,134.7,101.0,395.0,3.9,40.0,5.0,0.0,
917,Jeff Driskel,SEC,2012.0,59.2,-8.9,403.0,9.2,21.2,18.8,-27.9,-2.9,44.3,78.0,47.0,84.5,78.9,156.0,245.0,63.7,1646.0,6.7,75.0,12.0,5.0,36.0,132.2,118.0,408.0,3.5,70.0,4.0,0.0,1.0
918,Corey Robinson,SUN-BELT,2012.0,59.2,28.4,449.0,45.4,52.0,-2.9,-6.4,2.4,65.9,39.2,48.1,33.6,50.0,257.0,389.0,66.1,3121.0,8.0,76.0,12.0,9.0,9.0,139.0,,,,,,0.0,
919,Stephen Morris,ACC,2012.0,58.3,3.9,523.0,24.6,34.2,0.1,-12.1,2.5,51.9,58.8,67.2,43.3,65.0,245.0,421.0,58.2,3345.0,7.9,87.0,21.0,7.0,17.0,138.1,,,,,,0.0,
920,Michael Rocco,ACC,2012.0,58.2,3.5,330.0,15.6,19.0,4.4,-7.4,-0.4,52.7,39.3,31.4,56.4,37.9,161.0,266.0,60.5,1917.0,7.2,73.0,13.0,10.0,10.0,129.7,,,,,,2012.0,
921,Mike Glennon,ACC,2012.0,57.8,3.2,659.0,28.6,59.5,-2.7,-28.8,0.6,51.3,52.7,39.5,65.8,48.8,330.0,564.0,58.5,4031.0,7.1,83.0,31.0,17.0,36.0,130.7,,,,,,2012.0,1.0
922,Munchie Legaux,American,2012.0,57.8,6.9,312.0,18.4,15.5,6.4,-4.7,1.1,55.7,64.6,60.9,63.9,46.4,120.0,230.0,52.2,1716.0,7.5,78.0,13.0,9.0,7.0,125.7,55.0,335.0,6.1,77.0,4.0,0.0,
923,Cameron Coffman,BIG10,2012.0,57.3,4.2,471.0,22.5,28.2,0.6,-6.9,0.6,52.3,38.5,55.3,28.7,43.2,247.0,407.0,60.7,2734.0,6.7,79.0,15.0,11.0,13.0,123.9,,,,,,19.0,
924,Ryan Radcliff,MAC,2012.0,55.9,22.9,464.0,40.5,50.6,-2.7,-8.6,1.2,62.5,30.5,47.0,26.7,39.3,242.0,407.0,59.5,3158.0,7.8,92.0,23.0,9.0,13.0,138.9,,,,,,0.0,
925,Taylor McHargue,C-USA,2012.0,55.7,20.2,521.0,40.4,36.8,20.1,-18.0,1.6,60.0,40.2,41.0,36.6,66.9,194.0,325.0,59.7,2209.0,6.8,50.0,12.0,5.0,26.0,125.9,164.0,667.0,4.1,47.0,11.0,0.0,
926,Trevone Boykin,BIG12,2012.0,55.6,-8.5,452.0,11.7,22.3,5.6,-16.2,-0.7,45.1,67.9,44.2,82.7,50.6,167.0,292.0,57.2,2054.0,7.0,94.0,15.0,10.0,24.0,126.4,127.0,417.0,3.3,42.0,3.0,24.0,
927,Jeff Tuel,PAC-12,2012.0,54.9,-14.9,424.0,4.4,15.3,2.1,-19.2,6.1,41.0,31.7,32.4,43.0,32.9,211.0,332.0,63.6,2087.0,6.3,61.0,8.0,8.0,35.0,119.5,,,,,,2012.0,
928,Jake Medlock,C-USA,2012.0,54.8,20.7,379.0,32.8,38.8,5.6,-13.8,2.2,63.8,27.3,27.9,39.9,33.3,152.0,263.0,57.8,2127.0,8.1,67.0,13.0,2.0,24.0,140.5,,,,,,0.0,
929,Jordan Rodgers,SEC,2012.0,53.8,-10.9,454.0,9.0,32.0,-7.1,-18.0,2.1,43.8,69.3,52.9,71.5,68.8,191.0,319.0,59.9,2539.0,8.0,78.0,15.0,5.0,23.0,139.1,,,,,,0.0,
930,Robert Marve,BIG10,2012.0,53.7,-0.1,315.0,11.3,23.0,-1.8,-8.3,-1.6,50.0,49.0,42.2,54.2,55.4,166.0,253.0,65.6,1734.0,6.9,73.0,15.0,5.0,15.0,138.8,,,,,,21.0,
931,Kawaun Jakes,C-USA,2012.0,52.4,18.6,409.0,34.3,45.9,3.6,-17.8,2.7,61.6,43.9,44.7,46.9,45.4,200.0,312.0,64.1,2488.0,8.0,70.0,22.0,11.0,23.0,147.3,,,,,,2012.0,
932,Keenan Reynolds,American,2012.0,51.9,13.9,283.0,22.8,18.1,10.8,-7.2,1.1,62.5,35.7,44.3,32.2,54.2,61.0,108.0,56.5,898.0,8.3,68.0,9.0,2.0,14.0,150.1,162.0,649.0,4.0,72.0,10.0,2012.0,1.0
933,James Franklin,SEC,2012.0,51.7,-18.4,339.0,-1.9,18.8,-6.2,-13.5,-0.5,36.3,57.9,36.6,71.5,59.6,139.0,234.0,59.4,1562.0,6.7,80.0,10.0,7.0,20.0,123.6,,,,,,0.0,
934,Graham Wilbert,C-USA,2012.0,51.1,14.4,504.0,32.9,42.2,6.2,-15.4,-0.2,57.4,25.4,28.8,32.1,44.0,261.0,405.0,64.4,2814.0,6.9,75.0,18.0,6.0,26.0,134.5,,,,,,0.0,
935,Connor Dietz,MTN-WEST,2012.0,51.1,10.4,283.0,20.4,17.4,7.3,-5.4,1.0,59.4,31.9,44.4,30.1,37.7,68.0,111.0,61.3,1131.0,10.2,58.0,8.0,3.0,7.0,165.2,144.0,669.0,4.6,49.0,5.0,0.0,
936,Zach Mettenberger,SEC,2012.0,51.0,-15.3,436.0,5.1,36.7,-7.6,-25.1,0.8,41.0,76.6,53.3,80.7,73.9,207.0,352.0,58.8,2609.0,7.4,56.0,12.0,7.0,32.0,128.3,,,,,,0.0,1.0
937,Trent Steelman,INDEP,2012.0,50.7,9.3,353.0,22.9,6.6,22.4,-5.2,-1.2,56.8,21.0,44.7,12.3,38.6,43.0,90.0,47.8,667.0,7.4,53.0,1.0,2.0,8.0,109.3,241.0,1248.0,5.2,75.0,17.0,0.0,
938,Ryan Griffin,American,2012.0,50.7,5.3,462.0,24.2,38.8,-3.9,-14.1,3.6,53.0,15.7,18.1,21.9,56.1,245.0,394.0,62.2,2771.0,7.0,79.0,20.0,11.0,21.0,132.4,,,,,,0.0,
939,David Piland,American,2012.0,50.6,12.6,520.0,26.4,29.5,2.7,-6.4,0.5,56.3,31.4,32.7,41.2,35.8,256.0,448.0,57.1,2929.0,6.5,74.0,16.0,12.0,12.0,118.5,,,,,,2012.0,
940,Tyler Van Tubbergen,MAC,2012.0,49.7,5.7,323.0,17.1,17.0,7.4,-7.7,0.3,54.6,33.9,39.9,37.9,37.2,159.0,261.0,60.9,1825.0,7.0,81.0,15.0,11.0,10.0,130.2,,,,,,0.0,
941,Tyler Benz,MAC,2012.0,49.5,-0.2,303.0,11.3,19.1,4.4,-11.8,-0.4,49.8,19.7,30.2,23.7,33.2,114.0,212.0,53.8,1506.0,7.1,44.0,14.0,8.0,18.0,127.7,,,,,,2012.0,
942,Alex Zordich,MAC,2012.0,49.2,-5.6,331.0,8.3,-0.6,11.7,-5.5,2.8,45.7,27.8,28.6,40.9,32.4,106.0,208.0,51.0,1254.0,6.0,50.0,9.0,7.0,11.0,109.2,100.0,500.0,5.0,36.0,1.0,20.0,
943,Cody Green,American,2012.0,48.3,-9.1,536.0,14.2,11.0,2.2,-4.9,5.5,45.6,56.6,44.4,66.0,53.2,228.0,419.0,54.4,2592.0,6.2,74.0,17.0,11.0,8.0,114.5,,,,,,2012.0,
944,Shaun Rutherford,SUN-BELT,2012.0,47.7,14.0,511.0,30.6,32.8,12.9,-14.7,-0.4,57.1,27.7,40.9,20.2,68.7,193.0,299.0,64.5,2137.0,7.1,98.0,15.0,5.0,28.0,137.8,168.0,597.0,3.6,45.0,5.0,0.0,
945,Phillip Sims,ACC,2012.0,47.7,-1.7,248.0,8.1,5.9,10.7,-8.8,0.3,48.2,39.3,31.4,56.4,37.9,114.0,203.0,56.2,1263.0,6.2,56.0,9.0,4.0,15.0,119.1,,,,,,0.0,
946,Gary Nova,BIG10,2012.0,47.6,-7.3,463.0,13.4,22.9,-3.7,-8.2,2.5,45.9,59.0,32.5,78.3,50.6,221.0,388.0,57.0,2695.0,6.9,85.0,22.0,16.0,11.0,125.8,,,,,,0.0,
947,Travis Wilson,PAC-12,2012.0,47.6,-8.7,288.0,3.9,14.3,-4.2,-6.0,-0.3,42.2,51.5,36.1,61.3,62.8,128.0,204.0,62.7,1311.0,6.4,42.0,7.0,6.0,14.0,122.2,,,,,,0.0,
948,Dalton Williams,MAC,2012.0,47.5,6.0,606.0,29.5,39.6,0.4,-11.8,0.9,52.6,23.3,34.8,24.9,35.6,326.0,522.0,62.5,3387.0,6.5,56.0,25.0,16.0,20.0,126.6,,,,,,2012.0,
949,Logan Thomas,ACC,2012.0,47.3,-21.5,647.0,8.6,19.5,2.5,-14.6,1.2,41.5,53.3,31.4,73.9,50.9,220.0,429.0,51.3,2976.0,6.9,85.0,18.0,16.0,25.0,115.9,174.0,524.0,3.0,73.0,9.0,2012.0,1.0
950,Keith Price,PAC-12,2012.0,47.0,-26.6,563.0,0.3,27.3,-0.8,-23.9,-2.1,38.0,57.5,39.1,73.4,46.8,263.0,432.0,60.9,2728.0,6.3,47.0,19.0,13.0,37.0,122.4,,,,,,2012.0,
